nodeId,phyId,linkIndex,devType,nodeIdFar,phyIdFar,linkIndexFar,devTypeFar
0,8,0,0,0,1,9,1
0,8,1,0,0,1,8,1
0,8,2,0,0,1,1,1
0,8,3,0,0,1,0,1
0,8,4,0,0,1,11,1
0,8,5,0,0,1,10,1
0,8,6,0,0,1,3,1
0,8,7,0,0,1,2,1
0,8,8,0,0,1,4,1
0,8,9,0,0,1,5,1
0,8,10,0,0,1,6,1
0,8,11,0,0,1,7,1
0,8,16,0,0,0,10,1
0,8,17,0,0,0,11,1
0,8,18,0,0,0,6,1
0,8,19,0,0,0,7,1
0,8,20,0,0,0,8,1
0,8,21,0,0,0,9,1
0,8,22,0,0,0,4,1
0,8,23,0,0,0,5,1
0,8,24,0,0,0,3,1
0,8,25,0,0,0,2,1
0,8,28,0,0,0,1,1
0,8,29,0,0,0,0,1
1,9,0,0,1,3,9,1
1,9,1,0,1,3,8,1
1,9,2,0,1,3,1,1
1,9,3,0,1,3,0,1
1,9,4,0,1,3,11,1
1,9,5,0,1,3,10,1
1,9,6,0,1,3,3,1
1,9,7,0,1,3,2,1
1,9,8,0,1,3,4,1
1,9,9,0,1,3,5,1
1,9,10,0,1,3,6,1
1,9,11,0,1,3,7,1
1,9,16,0,1,2,10,1
1,9,17,0,1,2,11,1
1,9,18,0,1,2,6,1
1,9,19,0,1,2,7,1
1,9,20,0,1,2,8,1
1,9,21,0,1,2,9,1
1,9,22,0,1,2,4,1
1,9,23,0,1,2,5,1
1,9,24,0,1,2,3,1
1,9,25,0,1,2,2,1
1,9,28,0,1,2,1,1
1,9,29,0,1,2,0,1
0,8,12,0,1,9,12,0
0,8,13,0,1,9,13,0
0,8,14,0,1,9,14,0
0,8,15,0,1,9,15,0
0,8,26,0,1,9,26,0
0,8,27,0,1,9,27,0
0,8,30,0,1,9,30,0
0,8,31,0,1,9,31,0
0,8,32,0,1,9,32,0
0,8,33,0,1,9,33,0
0,8,34,0,1,9,34,0
0,8,35,0,1,9,35,0
